Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
audio_027.mp3,1292.58,ChaCha20,5.5,6.7
audio_027.mp3,1292.58,Camellia,17.6,2.6
audio_028.mp3,1340.95,AES,17.7,10.8
audio_028.mp3,1340.95,3DES,27.0,30.7
audio_028.mp3,1340.95,ChaCha20,16.2,14.5
audio_028.mp3,1340.95,Camellia,6.4,3.8
audio_029.mp3,1389.93,AES,1.2,11.5
audio_029.mp3,1389.93,3DES,21.2,14.3
audio_029.mp3,1389.93,ChaCha20,3.6,14.3
audio_029.mp3,1389.93,Camellia,8.0,7.4
audio_030.mp3,1438.91,AES,9.7,12.3
audio_030.mp3,1438.91,3DES,26.0,11.8
audio_030.mp3,1438.91,ChaCha20,13.0,18.8
audio_030.mp3,1438.91,Camellia,1.5,2.5
audio_031.mp3,1487.28,AES,6.7,15.5
audio_031.mp3,1487.28,3DES,15.6,18.6
audio_031.mp3,1487.28,ChaCha20,18.0,2.5
audio_031.mp3,1487.28,Camellia,2.7,3.5
audio_032.mp3,1536.25,AES,10.7,9.5
audio_032.mp3,1536.25,3DES,12.3,19.5
audio_032.mp3,1536.25,ChaCha20,4.0,1.3
audio_032.mp3,1536.25,Camellia,18.2,11.2
audio_033.mp3,1584.62,AES,7.3,5.0
audio_033.mp3,1584.62,3DES,8.2,13.3
audio_033.mp3,1584.62,ChaCha20,1.2,17.1
audio_033.mp3,1584.62,Camellia,2.6,17.7
audio_034.mp3,1633.60,AES,7.3,18.8
audio_034.mp3,1633.60,3DES,16.4,17.8
audio_034.mp3,1633.60,ChaCha20,11.7,1.4
audio_034.mp3,1633.60,Camellia,8.2,7.6
audio_035.mp3,1681.97,AES,5.3,16.0
audio_035.mp3,1681.97,3DES,34.6,19.8
audio_035.mp3,1681.97,ChaCha20,27.8,1.4
audio_035.mp3,1681.97,Camellia,4.1,16.7
audio_036.mp3,1730.95,AES,7.7,15.5
audio_036.mp3,1730.95,3DES,12.3,14.7
audio_036.mp3,1730.95,ChaCha20,8.4,25.9
audio_036.mp3,1730.95,Camellia,7.3,15.3
audio_037.mp3,1779.32,AES,5.3,0
audio_037.mp3,1779.32,3DES,16.6,15.4
audio_037.mp3,1779.32,ChaCha20,4.8,16.5
audio_037.mp3,1779.32,Camellia,5.4,7.7
audio_038.mp3,1828.30,AES,11.2,2.6
audio_038.mp3,1828.30,3DES,16.2,28.4
audio_038.mp3,1828.30,ChaCha20,28.2,8.3
audio_038.mp3,1828.30,Camellia,33.3,39.7
audio_039.mp3,1877.28,AES,14.3,4.1
audio_039.mp3,1877.28,3DES,19.1,10.9
audio_039.mp3,1877.28,ChaCha20,15.3,18.5
audio_039.mp3,1877.28,Camellia,2.6,6.6
audio_040.mp3,1925.64,AES,16.4,21.5
audio_040.mp3,1925.64,3DES,15.4,16.6
audio_040.mp3,1925.64,ChaCha20,6.2,1.3
audio_040.mp3,1925.64,Camellia,1.4,12.0
audio_041.mp3,1974.62,AES,19.3,4.2
audio_041.mp3,1974.62,3DES,15.9,10.0
audio_041.mp3,1974.62,ChaCha20,17.3,3.6
audio_041.mp3,1974.62,Camellia,29.1,5.1
audio_042.mp3,2022.99,AES,15.2,3.8
audio_042.mp3,2022.99,3DES,16.6,19.6
audio_042.mp3,2022.99,ChaCha20,0,12.7
audio_042.mp3,2022.99,Camellia,3.9,0
audio_043.mp3,2071.97,AES,15.7,5.3
audio_043.mp3,2071.97,3DES,13.5,9.1
audio_043.mp3,2071.97,ChaCha20,13.1,22.5
audio_043.mp3,2071.97,Camellia,19.5,4.4
audio_044.mp3,2120.34,AES,5.3,34.2
audio_044.mp3,2120.34,3DES,14.5,22.4
audio_044.mp3,2120.34,ChaCha20,1.4,2.6
audio_044.mp3,2120.34,Camellia,31.0,14.3
audio_045.mp3,2169.32,AES,2.8,3.4
audio_045.mp3,2169.32,3DES,16.3,28.9
audio_045.mp3,2169.32,ChaCha20,16.7,21.1
audio_045.mp3,2169.32,Camellia,1.3,1.3
audio_046.mp3,2218.30,AES,12.7,15.9
audio_046.mp3,2218.30,3DES,9.6,10.6
audio_046.mp3,2218.30,ChaCha20,16.3,12.7
audio_046.mp3,2218.30,Camellia,8.3,6.8
audio_047.mp3,2266.66,AES,45.3,12.0
audio_047.mp3,2266.66,3DES,18.9,16.0
audio_047.mp3,2266.66,ChaCha20,6.6,10.4
audio_047.mp3,2266.66,Camellia,14.3,10.7
audio_048.mp3,2315.64,AES,0,2.5
audio_048.mp3,2315.64,3DES,15.4,17.3
audio_048.mp3,2315.64,ChaCha20,2.6,8.8
audio_048.mp3,2315.64,Camellia,7.1,50.0
audio_049.mp3,2364.01,AES,0,17.9
audio_049.mp3,2364.01,3DES,13.9,16.2
audio_049.mp3,2364.01,ChaCha20,6.8,20.3
audio_049.mp3,2364.01,Camellia,13.2,1.4
audio_050.mp3,2412.99,AES,27.3,10.4
audio_050.mp3,2412.99,3DES,18.4,18.2
audio_050.mp3,2412.99,ChaCha20,17.7,10.3
audio_050.mp3,2412.99,Camellia,34.6,8.2
audio_051.mp3,2461.36,AES,6.8,2.8
audio_051.mp3,2461.36,3DES,15.9,16.7
audio_051.mp3,2461.36,ChaCha20,5.2,11.8
audio_051.mp3,2461.36,Camellia,15.6,14.0
audio_052.mp3,2510.34,AES,10.3,6.7
audio_052.mp3,2510.34,3DES,17.9,18.8
audio_052.mp3,2510.34,ChaCha20,11.4,2.8
audio_052.mp3,2510.34,Camellia,17.8,10.8
audio_053.mp3,2558.70,AES,19.5,13.6
audio_053.mp3,2558.70,3DES,14.8,15.9
audio_053.mp3,2558.70,ChaCha20,11.2,25.0
audio_053.mp3,2558.70,Camellia,9.9,4.4
audio_054.mp3,2607.68,AES,11.1,13.9
audio_054.mp3,2607.68,3DES,22.1,14.4
audio_054.mp3,2607.68,ChaCha20,15.5,3.8
audio_054.mp3,2607.68,Camellia,5.5,5.3
audio_055.mp3,2656.66,AES,2.8,6.4
audio_055.mp3,2656.66,3DES,9.8,12.2
audio_055.mp3,2656.66,ChaCha20,14.9,7.8
audio_055.mp3,2656.66,Camellia,9.1,18.8
audio_056.mp3,2705.03,AES,20.8,6.0
audio_056.mp3,2705.03,3DES,20.0,19.7
audio_056.mp3,2705.03,ChaCha20,9.8,11.1
audio_056.mp3,2705.03,Camellia,4.0,2.4
audio_057.mp3,2754.01,AES,21.0,10.8
audio_057.mp3,2754.01,3DES,14.1,14.1
audio_057.mp3,2754.01,ChaCha20,2.6,40.7
audio_057.mp3,2754.01,Camellia,6.5,7.9
audio_058.mp3,2802.38,AES,14.8,8.6
audio_058.mp3,2802.38,3DES,14.0,16.7
audio_058.mp3,2802.38,ChaCha20,10.9,33.3
audio_058.mp3,2802.38,Camellia,3.8,11.6
audio_059.mp3,2851.36,AES,16.4,15.0
audio_059.mp3,2851.36,3DES,15.0,15.3
audio_059.mp3,2851.36,ChaCha20,13.5,15.5
audio_059.mp3,2851.36,Camellia,3.9,13.2
audio_060.mp3,2899.72,AES,11.7,5.1
audio_060.mp3,2899.72,3DES,20.5,13.9
audio_060.mp3,2899.72,ChaCha20,4.0,10.5
audio_060.mp3,2899.72,Camellia,21.3,17.7
audio_061.mp3,2948.70,AES,33.8,5.3
audio_061.mp3,2948.70,3DES,15.5,16.6
audio_061.mp3,2948.70,ChaCha20,29.1,6.3
audio_061.mp3,2948.70,Camellia,15.1,8.0
audio_062.mp3,2997.68,AES,12.0,19.0
audio_062.mp3,2997.68,3DES,13.0,22.3
audio_062.mp3,2997.68,ChaCha20,18.8,12.7
audio_062.mp3,2997.68,Camellia,10.3,25.6
audio_063.mp3,3046.05,AES,23.5,18.8
audio_063.mp3,3046.05,3DES,22.6,24.1
audio_063.mp3,3046.05,ChaCha20,2.7,6.6
audio_063.mp3,3046.05,Camellia,28.6,26.3
audio_064.mp3,3095.03,AES,17.9,7.9
audio_064.mp3,3095.03,3DES,23.4,24.4
audio_064.mp3,3095.03,ChaCha20,5.8,25.3
audio_064.mp3,3095.03,Camellia,11.8,4.6
audio_065.mp3,3143.40,AES,12.9,15.2
