Archivo,Peso (KB),Algoritmo,CPU Encrypt (%),CPU Decrypt (%)
img_033.jpg,352.21,3DES,41.7,11.4
img_033.jpg,352.21,ChaCha20,8.0,11.1
img_033.jpg,352.21,Camellia,14.6,12.7
img_034.jpg,323.57,AES,4.1,6.5
img_034.jpg,323.57,3DES,7.8,20.5
img_034.jpg,323.57,ChaCha20,15.1,5.5
img_034.jpg,323.57,Camellia,1.4,1.3
img_035.jpg,341.06,AES,3.5,8.3
img_035.jpg,341.06,3DES,8.5,6.4
img_035.jpg,341.06,ChaCha20,4.1,0
img_035.jpg,341.06,Camellia,15.0,2.5
img_036.jpg,356.99,AES,2.6,1.4
img_036.jpg,356.99,3DES,6.9,12.5
img_036.jpg,356.99,ChaCha20,5.6,1.4
img_036.jpg,356.99,Camellia,8.1,1.2
img_037.jpg,362.62,AES,33.3,22.2
img_037.jpg,362.62,3DES,8.8,8.1
img_037.jpg,362.62,ChaCha20,2.8,22.9
img_037.jpg,362.62,Camellia,18.4,4.2
img_038.jpg,377.53,AES,4.2,19.7
img_038.jpg,377.53,3DES,35.8,20.5
img_038.jpg,377.53,ChaCha20,12.9,3.7
img_038.jpg,377.53,Camellia,1.3,4.0
img_039.jpg,383.77,AES,16.0,8.9
img_039.jpg,383.77,3DES,9.6,15.6
img_039.jpg,383.77,ChaCha20,7.4,10.7
img_039.jpg,383.77,Camellia,1.3,14.3
img_040.jpg,443.04,AES,10.8,15.5
img_040.jpg,443.04,3DES,30.4,15.2
img_040.jpg,443.04,ChaCha20,5.1,0
img_040.jpg,443.04,Camellia,2.6,27.4
img_041.jpg,407.11,AES,13.3,14.3
img_041.jpg,407.11,3DES,10.0,16.2
img_041.jpg,407.11,ChaCha20,19.2,19.4
img_041.jpg,407.11,Camellia,11.5,18.3
img_042.jpg,417.41,AES,12.3,2.8
img_042.jpg,417.41,3DES,29.3,6.5
img_042.jpg,417.41,ChaCha20,3.6,7.1
img_042.jpg,417.41,Camellia,13.1,29.1
img_043.jpg,438.70,AES,44.4,8.9
img_043.jpg,438.70,3DES,9.9,19.4
img_043.jpg,438.70,ChaCha20,33.8,11.2
img_043.jpg,438.70,Camellia,15.7,2.5
img_044.jpg,437.55,AES,35.2,24.4
img_044.jpg,437.55,3DES,13.3,31.0
img_044.jpg,437.55,ChaCha20,2.5,18.8
img_044.jpg,437.55,Camellia,27.1,6.2
img_045.jpg,444.60,AES,6.5,25.0
img_045.jpg,444.60,3DES,10.1,26.4
img_045.jpg,444.60,ChaCha20,26.3,3.8
img_045.jpg,444.60,Camellia,2.5,1.4
img_046.jpg,450.95,AES,11.1,3.9
img_046.jpg,450.95,3DES,8.5,9.7
img_046.jpg,450.95,ChaCha20,6.8,31.6
img_046.jpg,450.95,Camellia,0,19.4
img_047.jpg,464.82,AES,6.7,34.2
img_047.jpg,464.82,3DES,8.6,10.1
img_047.jpg,464.82,ChaCha20,7.3,8.3
img_047.jpg,464.82,Camellia,2.6,26.0
img_048.jpg,546.65,AES,26.0,6.8
img_048.jpg,546.65,3DES,22.7,12.0
img_048.jpg,546.65,ChaCha20,16.0,2.8
img_048.jpg,546.65,Camellia,0,1.3
img_049.jpg,485.48,AES,8.8,9.5
img_049.jpg,485.48,3DES,35.8,16.2
img_049.jpg,485.48,ChaCha20,4.1,1.4
img_049.jpg,485.48,Camellia,5.6,19.4
img_050.jpg,493.45,AES,3.8,10.1
img_050.jpg,493.45,3DES,9.8,7.3
img_050.jpg,493.45,ChaCha20,15.1,2.6
img_050.jpg,493.45,Camellia,0,6.8
img_051.jpg,499.74,AES,2.8,45.2
img_051.jpg,499.74,3DES,10.5,26.2
img_051.jpg,499.74,ChaCha20,15.4,0
img_051.jpg,499.74,Camellia,33.3,1.1
img_052.jpg,543.94,AES,5.4,6.3
img_052.jpg,543.94,3DES,8.0,17.7
img_052.jpg,543.94,ChaCha20,3.9,1.4
img_052.jpg,543.94,Camellia,1.2,2.4
img_053.jpg,518.97,AES,41.7,2.6
img_053.jpg,518.97,3DES,9.1,11.5
img_053.jpg,518.97,ChaCha20,17.5,28.0
img_053.jpg,518.97,Camellia,10.1,1.3
img_054.jpg,532.64,AES,4.8,4.7
img_054.jpg,532.64,3DES,26.8,14.6
img_054.jpg,532.64,ChaCha20,8.8,37.8
img_054.jpg,532.64,Camellia,15.6,37.5
img_055.jpg,543.39,AES,0,1.4
img_055.jpg,543.39,3DES,14.0,8.3
img_055.jpg,543.39,ChaCha20,31.9,2.5
img_055.jpg,543.39,Camellia,21.9,4.2
img_056.jpg,628.12,AES,6.9,13.2
img_056.jpg,628.12,3DES,11.6,28.4
img_056.jpg,628.12,ChaCha20,6.2,17.6
img_056.jpg,628.12,Camellia,25.0,8.1
img_057.jpg,621.63,AES,19.1,6.0
img_057.jpg,621.63,3DES,11.7,14.4
img_057.jpg,621.63,ChaCha20,15.3,3.7
img_057.jpg,621.63,Camellia,20.0,8.2
img_058.jpg,594.08,AES,18.1,7.7
img_058.jpg,594.08,3DES,13.1,13.7
img_058.jpg,594.08,ChaCha20,28.9,47.5
img_058.jpg,594.08,Camellia,10.8,25.6
img_059.jpg,587.95,AES,27.6,0
img_059.jpg,587.95,3DES,32.4,12.8
img_059.jpg,587.95,ChaCha20,17.6,0
img_059.jpg,587.95,Camellia,16.7,0
img_060.jpg,647.91,AES,16.9,34.1
img_060.jpg,647.91,3DES,14.7,50.0
img_060.jpg,647.91,ChaCha20,5.9,31.6
img_060.jpg,647.91,Camellia,4.9,0
img_061.jpg,674.23,AES,26.7,8.2
img_061.jpg,674.23,3DES,12.4,12.6
img_061.jpg,674.23,ChaCha20,7.5,26.4
img_061.jpg,674.23,Camellia,10.0,27.3
img_062.jpg,690.59,AES,15.5,3.0
img_062.jpg,690.59,3DES,38.1,12.4
img_062.jpg,690.59,ChaCha20,0,6.2
img_062.jpg,690.59,Camellia,33.7,2.8
img_063.jpg,623.74,AES,9.6,6.8
img_063.jpg,623.74,3DES,9.3,59.3
img_063.jpg,623.74,ChaCha20,13.9,1.3
img_063.jpg,623.74,Camellia,7.5,34.4
img_064.jpg,635.20,AES,28.6,11.7
img_064.jpg,635.20,3DES,8.3,7.7
img_064.jpg,635.20,ChaCha20,12.5,11.4
img_064.jpg,635.20,Camellia,0,1.4
img_065.jpg,688.47,AES,17.1,21.7
img_065.jpg,688.47,3DES,28.9,13.9
img_065.jpg,688.47,ChaCha20,0,5.6
img_065.jpg,688.47,Camellia,30.8,4.1
img_066.jpg,656.24,AES,17.3,0
img_066.jpg,656.24,3DES,10.2,15.8
img_066.jpg,656.24,ChaCha20,29.9,6.0
img_066.jpg,656.24,Camellia,3.9,0
img_067.jpg,630.24,AES,18.1,9.7
img_067.jpg,630.24,3DES,11.9,10.6
img_067.jpg,630.24,ChaCha20,32.1,4.1
img_067.jpg,630.24,Camellia,16.4,27.1
img_068.jpg,713.60,AES,7.3,8.3
img_068.jpg,713.60,3DES,15.8,12.6
img_068.jpg,713.60,ChaCha20,9.4,10.4
img_068.jpg,713.60,Camellia,25.0,5.0
img_069.jpg,682.44,AES,0,5.9
img_069.jpg,682.44,3DES,14.8,11.0
img_069.jpg,682.44,ChaCha20,1.4,4.4
img_069.jpg,682.44,Camellia,8.1,19.0
img_070.jpg,703.15,AES,1.4,3.8
img_070.jpg,703.15,3DES,11.6,16.4
img_070.jpg,703.15,ChaCha20,5.6,4.1
img_070.jpg,703.15,Camellia,13.0,8.5
img_071.jpg,776.85,AES,30.1,50.6
img_071.jpg,776.85,3DES,15.9,13.0
img_071.jpg,776.85,ChaCha20,10.0,40.0
img_071.jpg,776.85,Camellia,6.2,5.1
img_072.jpg,713.68,AES,6.8,4.1
img_072.jpg,713.68,3DES,27.3,11.1
img_072.jpg,713.68,ChaCha20,20.5,6.6
img_072.jpg,713.68,Camellia,21.9,25.6
img_073.jpg,829.75,AES,32.0,22.2
img_073.jpg,829.75,3DES,12.2,13.6
img_073.jpg,829.75,ChaCha20,8.2,25.6
img_073.jpg,829.75,Camellia,13.9,30.6
img_074.jpg,785.73,AES,0,0
img_074.jpg,785.73,3DES,14.6,22.7
img_074.jpg,785.73,ChaCha20,9.5,11.5
img_074.jpg,785.73,Camellia,9.1,6.5
img_075.jpg,822.43,AES,9.7,5.2
img_075.jpg,822.43,3DES,15.9,10.1
img_075.jpg,822.43,ChaCha20,22.4,12.5
img_075.jpg,822.43,Camellia,12.5,8.5
img_076.jpg,713.51,AES,0,14.1
img_076.jpg,713.51,3DES,10.3,18.9
img_076.jpg,713.51,ChaCha20,2.6,17.9
img_076.jpg,713.51,Camellia,6.5,3.7
img_077.jpg,840.50,AES,20.7,6.2
img_077.jpg,840.50,3DES,21.2,10.2
img_077.jpg,840.50,ChaCha20,7.0,1.3
img_077.jpg,840.50,Camellia,24.3,3.8
img_078.jpg,777.33,AES,22.0,5.8
img_078.jpg,777.33,3DES,10.1,8.9
img_078.jpg,777.33,ChaCha20,1.4,19.7
img_078.jpg,777.33,Camellia,13.7,15.3
img_079.jpg,774.50,AES,2.8,2.4
img_079.jpg,774.50,3DES,12.9,27.3
img_079.jpg,774.50,ChaCha20,10.3,7.4
img_079.jpg,774.50,Camellia,6.3,1.3
img_080.jpg,778.72,AES,22.2,11.8
img_080.jpg,778.72,3DES,10.0,9.5
img_080.jpg,778.72,ChaCha20,31.2,5.2
img_080.jpg,778.72,Camellia,12.5,5.3
img_081.jpg,894.38,AES,4.6,22.0
img_081.jpg,894.38,3DES,10.7,16.6
img_081.jpg,894.38,ChaCha20,12.3,19.2
img_081.jpg,894.38,Camellia,5.1,3.9
img_082.jpg,812.55,AES,9.0,1.4
img_082.jpg,812.55,3DES,21.5,8.3
img_082.jpg,812.55,ChaCha20,2.6,6.7
img_082.jpg,812.55,Camellia,15.1,6.1
img_083.jpg,772.95,AES,5.2,7.4
img_083.jpg,772.95,3DES,7.7,8.3
img_083.jpg,772.95,ChaCha20,3.7,5.1
img_083.jpg,772.95,Camellia,4.8,20.3
img_084.jpg,786.48,AES,2.4,1.3
img_084.jpg,786.48,3DES,13.0,26.5
img_084.jpg,786.48,ChaCha20,2.6,3.8
img_084.jpg,786.48,Camellia,13.9,0
img_085.jpg,926.24,AES,30.0,5.1
img_085.jpg,926.24,3DES,10.2,10.5
img_085.jpg,926.24,ChaCha20,19.4,7.7
img_085.jpg,926.24,Camellia,13.3,7.1
img_086.jpg,826.80,AES,1.3,40.2
img_086.jpg,826.80,3DES,14.2,11.5
img_086.jpg,826.80,ChaCha20,6.5,31.8
img_086.jpg,826.80,Camellia,4.0,5.8
img_087.jpg,941.81,AES,1.3,1.4
img_087.jpg,941.81,3DES,30.6,20.0
img_087.jpg,941.81,ChaCha20,2.4,7.8
img_087.jpg,941.81,Camellia,22.7,9.1
img_088.jpg,876.69,AES,2.5,2.8
img_088.jpg,876.69,3DES,12.5,15.5
img_088.jpg,876.69,ChaCha20,10.8,0
img_088.jpg,876.69,Camellia,9.0,22.7
img_089.jpg,884.63,AES,4.9,8.1
img_089.jpg,884.63,3DES,12.6,10.9
img_089.jpg,884.63,ChaCha20,6.8,0
img_089.jpg,884.63,Camellia,8.8,14.1
img_090.jpg,965.91,AES,0,7.4
img_090.jpg,965.91,3DES,11.9,25.4
img_090.jpg,965.91,ChaCha20,5.6,16.5
img_090.jpg,965.91,Camellia,15.1,8.7
img_091.jpg,823.60,AES,22.2,19.0
img_091.jpg,823.60,3DES,9.8,12.4
img_091.jpg,823.60,ChaCha20,13.6,1.2
img_091.jpg,823.60,Camellia,1.2,16.9
img_092.jpg,890.94,AES,15.7,24.7
img_092.jpg,890.94,3DES,13.3,9.8
img_092.jpg,890.94,ChaCha20,5.9,1.4
img_092.jpg,890.94,Camellia,8.8,10.4
img_093.jpg,927.33,AES,4.7,8.2
img_093.jpg,927.33,3DES,31.5,10.2
img_093.jpg,927.33,ChaCha20,4.8,8.3
img_093.jpg,927.33,Camellia,1.2,1.3
img_094.jpg,879.34,AES,5.5,7.6
img_094.jpg,879.34,3DES,24.7,14.7
img_094.jpg,879.34,ChaCha20,5.7,0
img_094.jpg,879.34,Camellia,15.6,4.9
img_095.jpg,879.80,AES,9.5,9.3
img_095.jpg,879.80,3DES,14.4,12.5
img_095.jpg,879.80,ChaCha20,6.8,12.3
img_095.jpg,879.80,Camellia,0,19.4
img_096.jpg,981.51,AES,12.5,9.6
img_096.jpg,981.51,3DES,16.5,11.5
img_096.jpg,981.51,ChaCha20,2.8,9.7
img_096.jpg,981.51,Camellia,0,5.6
img_097.jpg,1087.54,AES,2.8,11.9
img_097.jpg,1087.54,3DES,11.6,14.0
img_097.jpg,1087.54,ChaCha20,6.5,1.4
img_097.jpg,1087.54,Camellia,2.8,9.5
img_098.jpg,1078.69,AES,2.7,6.0
img_098.jpg,1078.69,3DES,9.1,12.8
img_098.jpg,1078.69,ChaCha20,1.3,8.3
img_098.jpg,1078.69,Camellia,10.8,6.9
img_099.jpg,1065.44,AES,6.1,30.6
img_099.jpg,1065.44,3DES,13.9,17.6
img_099.jpg,1065.44,ChaCha20,39.2,0
img_099.jpg,1065.44,Camellia,20.8,14.5
img_100.jpg,935.46,AES,9.6,8.2
img_100.jpg,935.46,3DES,21.5,36.5
img_100.jpg,935.46,ChaCha20,16.0,8.6
img_100.jpg,935.46,Camellia,9.0,2.7
text_001.txt,0.32,AES,26.9,22.0
text_001.txt,0.32,3DES,18.5,8.3
text_001.txt,0.32,ChaCha20,1.4,19.2
text_001.txt,0.32,Camellia,8.1,11.1
text_002.txt,0.65,AES,6.2,9.9
text_002.txt,0.65,3DES,6.0,14.3
text_002.txt,0.65,ChaCha20,10.5,6.2
text_002.txt,0.65,Camellia,5.6,6.6
text_003.txt,0.98,AES,19.4,14.3
text_003.txt,0.98,3DES,0,8.3
text_003.txt,0.98,ChaCha20,8.3,14.1
text_003.txt,0.98,Camellia,17.3,7.1
text_004.txt,1.31,AES,2.8,14.7
text_004.txt,1.31,3DES,15.8,16.4
text_004.txt,1.31,ChaCha20,2.5,0
text_004.txt,1.31,Camellia,2.6,4.2
text_005.txt,1.64,AES,15.9,2.3
text_005.txt,1.64,3DES,5.2,5.3
text_005.txt,1.64,ChaCha20,16.0,13.7
text_005.txt,1.64,Camellia,20.3,6.2
text_006.txt,1.96,AES,2.6,8.2
text_006.txt,1.96,3DES,13.9,23.8
text_006.txt,1.96,ChaCha20,8.6,0
text_006.txt,1.96,Camellia,2.6,24.7
text_007.txt,2.29,AES,20.2,14.1
text_007.txt,2.29,3DES,21.1,21.1
text_007.txt,2.29,ChaCha20,8.3,15.5
text_007.txt,2.29,Camellia,6.8,1.2
text_008.txt,2.62,AES,5.9,16.7
text_008.txt,2.62,3DES,8.8,18.6
text_008.txt,2.62,ChaCha20,4.7,0
text_008.txt,2.62,Camellia,4.7,21.3
text_009.txt,2.95,AES,12.3,4.9
text_009.txt,2.95,3DES,2.8,1.4
text_009.txt,2.95,ChaCha20,5.3,5.6
text_009.txt,2.95,Camellia,10.0,3.8
text_010.txt,3.28,AES,2.7,22.5
text_010.txt,3.28,3DES,12.8,17.3
text_010.txt,3.28,ChaCha20,0,3.5
text_010.txt,3.28,Camellia,39.1,14.0
text_011.txt,3.61,AES,12.7,8.3
text_011.txt,3.61,3DES,2.8,0
text_011.txt,3.61,ChaCha20,3.9,1.5
text_011.txt,3.61,Camellia,29.1,2.6
text_012.txt,3.93,AES,4.9,15.4
text_012.txt,3.93,3DES,9.7,9.4
text_012.txt,3.93,ChaCha20,2.8,1.4
text_012.txt,3.93,Camellia,35.8,16.2
text_013.txt,4.26,AES,9.2,19.4
text_013.txt,4.26,3DES,6.1,22.0
text_013.txt,4.26,ChaCha20,4.1,12.3
text_013.txt,4.26,Camellia,18.6,3.6
text_014.txt,4.59,AES,8.9,16.7
text_014.txt,4.59,3DES,11.2,22.4
text_014.txt,4.59,ChaCha20,23.6,2.8
text_014.txt,4.59,Camellia,5.1,5.5
text_015.txt,4.92,AES,12.5,6.7
text_015.txt,4.92,3DES,4.1,3.5
text_015.txt,4.92,ChaCha20,12.5,10.7
text_015.txt,4.92,Camellia,16.2,6.9
text_016.txt,5.25,AES,2.9,6.5
text_016.txt,5.25,3DES,5.6,4.2
text_016.txt,5.25,ChaCha20,11.1,2.8
text_016.txt,5.25,Camellia,9.7,3.6
text_017.txt,5.57,AES,1.3,4.2
text_017.txt,5.57,3DES,2.6,18.1
text_017.txt,5.57,ChaCha20,2.5,5.4
text_017.txt,5.57,Camellia,2.4,18.6
text_018.txt,5.90,AES,26.2,7.6
text_018.txt,5.90,3DES,8.9,2.4
text_018.txt,5.90,ChaCha20,7.0,3.8
text_018.txt,5.90,Camellia,9.3,5.1
text_019.txt,6.23,AES,8.5,0
text_019.txt,6.23,3DES,19.2,4.5
text_019.txt,6.23,ChaCha20,11.1,23.6
text_019.txt,6.23,Camellia,12.7,8.5
text_020.txt,6.56,AES,3.8,8.2
text_020.txt,6.56,3DES,3.7,13.9
text_020.txt,6.56,ChaCha20,1.4,13.9
text_020.txt,6.56,Camellia,7.1,7.1
text_021.txt,6.89,AES,2.3,5.4
text_021.txt,6.89,3DES,17.8,21.0
text_021.txt,6.89,ChaCha20,19.4,1.3
text_021.txt,6.89,Camellia,5.4,23.8
text_022.txt,7.21,AES,5.5,14.1
text_022.txt,7.21,3DES,6.0,11.9
text_022.txt,7.21,ChaCha20,4.8,8.4
text_022.txt,7.21,Camellia,3.6,6.2
text_023.txt,7.54,AES,2.7,4.7
text_023.txt,7.54,3DES,17.1,13.6
text_023.txt,7.54,ChaCha20,7.8,2.4
text_023.txt,7.54,Camellia,4.7,20.0
text_024.txt,7.87,AES,6.6,8.3
text_024.txt,7.87,3DES,10.3,0
text_024.txt,7.87,ChaCha20,9.7,10.5
text_024.txt,7.87,Camellia,6.9,6.8
text_025.txt,8.20,AES,6.2,9.6
text_025.txt,8.20,3DES,15.7,5.6
text_025.txt,8.20,ChaCha20,8.3,0
text_025.txt,8.20,Camellia,86.2,11.5
text_026.txt,8.53,AES,8.8,10.7
text_026.txt,8.53,3DES,3.9,2.5
text_026.txt,8.53,ChaCha20,5.4,20.8
text_026.txt,8.53,Camellia,8.1,1.4
text_027.txt,8.86,AES,1.4,16.9
text_027.txt,8.86,3DES,10.4,3.8
text_027.txt,8.86,ChaCha20,5.1,14.1
text_027.txt,8.86,Camellia,3.5,11.2
text_028.txt,9.18,AES,22.2,20.3
text_028.txt,9.18,3DES,1.3,13.5
text_028.txt,9.18,ChaCha20,12.0,13.7
text_028.txt,9.18,Camellia,6.1,0
text_029.txt,9.51,AES,0,5.2
text_029.txt,9.51,3DES,7.3,48.8
text_029.txt,9.51,ChaCha20,9.3,9.6
text_029.txt,9.51,Camellia,8.3,2.7
text_030.txt,9.84,AES,19.4,9.7
text_030.txt,9.84,3DES,14.9,13.9
text_030.txt,9.84,ChaCha20,16.4,3.9
text_030.txt,9.84,Camellia,5.6,9.6
text_031.txt,10.17,AES,2.7,19.3
text_031.txt,10.17,3DES,2.6,13.9
text_031.txt,10.17,ChaCha20,8.9,6.7
text_031.txt,10.17,Camellia,21.2,10.1
text_032.txt,10.50,AES,8.0,6.4
text_032.txt,10.50,3DES,13.2,3.4
text_032.txt,10.50,ChaCha20,3.9,3.8
text_032.txt,10.50,Camellia,20.8,2.7
text_033.txt,10.82,AES,6.3,3.8
text_033.txt,10.82,3DES,0,16.7
text_033.txt,10.82,ChaCha20,2.7,26.6
text_033.txt,10.82,Camellia,12.5,8.9
text_034.txt,11.15,AES,13.9,14.7
text_034.txt,11.15,3DES,4.8,9.0
text_034.txt,11.15,ChaCha20,4.1,1.2
text_034.txt,11.15,Camellia,32.5,7.4
text_035.txt,11.48,AES,7.6,0
text_035.txt,11.48,3DES,2.4,4.2
text_035.txt,11.48,ChaCha20,1.4,3.9
text_035.txt,11.48,Camellia,7.6,2.6
text_036.txt,11.81,AES,8.0,38.1
text_036.txt,11.81,3DES,8.6,11.0
text_036.txt,11.81,ChaCha20,11.5,0
text_036.txt,11.81,Camellia,5.1,7.9
text_037.txt,12.14,AES,12.3,5.3
text_037.txt,12.14,3DES,4.8,3.9
text_037.txt,12.14,ChaCha20,32.9,5.6
text_037.txt,12.14,Camellia,8.8,1.4
text_038.txt,12.46,AES,16.7,2.7
text_038.txt,12.46,3DES,4.1,23.3
text_038.txt,12.46,ChaCha20,14.1,5.6
text_038.txt,12.46,Camellia,0,34.7
text_039.txt,12.79,AES,15.1,7.2
text_039.txt,12.79,3DES,2.2,2.7
text_039.txt,12.79,ChaCha20,14.7,6.5
text_039.txt,12.79,Camellia,11.8,19.5
text_040.txt,13.12,AES,1.4,6.0
text_040.txt,13.12,3DES,27.0,13.9
text_040.txt,13.12,ChaCha20,5.2,21.0
text_040.txt,13.12,Camellia,5.2,39.7
text_041.txt,13.45,AES,21.1,7.6
text_041.txt,13.45,3DES,3.6,2.7
text_041.txt,13.45,ChaCha20,10.3,14.3
text_041.txt,13.45,Camellia,10.8,12.8
text_042.txt,13.78,AES,5.3,4.8
text_042.txt,13.78,3DES,19.4,5.7
text_042.txt,13.78,ChaCha20,7.2,6.7
text_042.txt,13.78,Camellia,15.3,17.9
text_043.txt,14.11,AES,10.5,3.8
text_043.txt,14.11,3DES,7.6,4.0
text_043.txt,14.11,ChaCha20,17.6,22.2
text_043.txt,14.11,Camellia,13.0,3.8
text_044.txt,14.43,AES,2.6,6.9
text_044.txt,14.43,3DES,15.6,4.2
text_044.txt,14.43,ChaCha20,33.3,14.3
text_044.txt,14.43,Camellia,5.6,17.9
text_045.txt,14.76,AES,22.1,2.4
text_045.txt,14.76,3DES,6.5,6.0
text_045.txt,14.76,ChaCha20,16.5,11.2
text_045.txt,14.76,Camellia,6.6,7.7
text_046.txt,15.09,AES,0,11.4
text_046.txt,15.09,3DES,12.6,16.7
text_046.txt,15.09,ChaCha20,11.5,5.5
text_046.txt,15.09,Camellia,6.4,16.0
text_047.txt,15.42,AES,10.7,8.3
text_047.txt,15.42,3DES,0,6.5
text_047.txt,15.42,ChaCha20,16.4,5.2
text_047.txt,15.42,Camellia,10.7,12.5
text_048.txt,15.75,AES,17.6,6.0
text_048.txt,15.75,3DES,11.0,16.7
text_048.txt,15.75,ChaCha20,6.5,11.3
text_048.txt,15.75,Camellia,11.8,9.7
text_049.txt,16.07,AES,2.7,3.7
text_049.txt,16.07,3DES,6.7,4.2
text_049.txt,16.07,ChaCha20,14.3,6.5
text_049.txt,16.07,Camellia,15.5,2.7
text_050.txt,16.40,AES,6.0,18.8
text_050.txt,16.40,3DES,11.0,14.1
text_050.txt,16.40,ChaCha20,2.6,8.5
text_050.txt,16.40,Camellia,11.1,10.7
text_051.txt,16.73,AES,4.2,8.3
text_051.txt,16.73,3DES,6.6,7.6
text_051.txt,16.73,ChaCha20,17.3,2.7
text_051.txt,16.73,Camellia,17.5,7.4
text_052.txt,17.06,AES,16.4,2.7
text_052.txt,17.06,3DES,1.3,7.7
text_052.txt,17.06,ChaCha20,0,8.0
text_052.txt,17.06,Camellia,5.2,20.5
text_053.txt,17.39,AES,7.1,16.0
text_053.txt,17.39,3DES,11.0,2.6
text_053.txt,17.39,ChaCha20,1.4,2.7
text_053.txt,17.39,Camellia,2.8,7.5
text_054.txt,17.71,AES,8.2,15.4
text_054.txt,17.71,3DES,20.3,3.8
text_054.txt,17.71,ChaCha20,25.9,9.0
text_054.txt,17.71,Camellia,7.9,8.1
text_055.txt,18.04,AES,1.3,11.4
text_055.txt,18.04,3DES,8.0,1.4
text_055.txt,18.04,ChaCha20,2.6,44.2
text_055.txt,18.04,Camellia,10.7,14.3
text_056.txt,18.37,AES,14.1,3.8
text_056.txt,18.37,3DES,17.1,10.1
text_056.txt,18.37,ChaCha20,25.9,11.1
text_056.txt,18.37,Camellia,17.7,5.1
text_057.txt,18.70,AES,10.7,21.0
text_057.txt,18.70,3DES,14.1,17.5
text_057.txt,18.70,ChaCha20,1.3,23.8
text_057.txt,18.70,Camellia,7.1,24.3
text_058.txt,19.03,AES,4.2,6.5
text_058.txt,19.03,3DES,6.5,7.8
text_058.txt,19.03,ChaCha20,35.4,3.6
text_058.txt,19.03,Camellia,3.9,22.1
text_059.txt,19.36,AES,13.5,5.6
text_059.txt,19.36,3DES,20.8,7.8
text_059.txt,19.36,ChaCha20,14.7,12.7
text_059.txt,19.36,Camellia,17.6,14.8
text_060.txt,19.68,AES,12.3,6.3
text_060.txt,19.68,3DES,7.3,26.4
text_060.txt,19.68,ChaCha20,11.8,15.1
text_060.txt,19.68,Camellia,4.2,2.8
text_061.txt,20.01,AES,25.0,11.0
text_061.txt,20.01,3DES,16.2,6.5
text_061.txt,20.01,ChaCha20,2.5,8.8
text_061.txt,20.01,Camellia,6.0,3.9
text_062.txt,20.34,AES,17.1,2.7
text_062.txt,20.34,3DES,9.7,16.7
text_062.txt,20.34,ChaCha20,9.2,18.1
text_062.txt,20.34,Camellia,5.1,20.0
text_063.txt,20.67,AES,15.4,1.3
text_063.txt,20.67,3DES,6.3,3.8
text_063.txt,20.67,ChaCha20,4.2,6.0
text_063.txt,20.67,Camellia,12.8,7.6
text_064.txt,21.00,AES,23.7,11.1
text_064.txt,21.00,3DES,7.4,23.2
text_064.txt,21.00,ChaCha20,5.0,14.3
text_064.txt,21.00,Camellia,2.6,15.3
text_065.txt,21.32,AES,10.1,8.1
text_065.txt,21.32,3DES,10.1,14.3
text_065.txt,21.32,ChaCha20,3.8,7.7
text_065.txt,21.32,Camellia,27.1,3.9
text_066.txt,21.65,AES,10.0,9.5
text_066.txt,21.65,3DES,11.1,31.0
text_066.txt,21.65,ChaCha20,50.0,25.0
text_066.txt,21.65,Camellia,50.7,30.1
text_067.txt,21.98,AES,36.4,34.5
text_067.txt,21.98,3DES,47.4,26.7
text_067.txt,21.98,ChaCha20,29.8,26.2
text_067.txt,21.98,Camellia,24.4,7.7
text_068.txt,22.31,AES,57.7,37.5
text_068.txt,22.31,3DES,16.7,16.7
text_068.txt,22.31,ChaCha20,20.3,9.7
text_068.txt,22.31,Camellia,25.0,12.9
text_069.txt,22.64,AES,13.1,16.5
text_069.txt,22.64,3DES,4.3,4.8
text_069.txt,22.64,ChaCha20,31.0,20.7
text_069.txt,22.64,Camellia,7.7,18.7
text_070.txt,22.96,AES,15.1,30.3
text_070.txt,22.96,3DES,16.2,6.9
text_070.txt,22.96,ChaCha20,23.3,4.2
text_070.txt,22.96,Camellia,18.4,40.0
text_071.txt,23.29,AES,3.7,8.1
text_071.txt,23.29,3DES,5.1,3.9
text_071.txt,23.29,ChaCha20,26.8,3.6
text_071.txt,23.29,Camellia,2.6,14.9
text_072.txt,23.62,AES,14.3,11.0
text_072.txt,23.62,3DES,4.1,8.9
text_072.txt,23.62,ChaCha20,10.5,2.5
text_072.txt,23.62,Camellia,9.6,18.1
text_073.txt,23.95,AES,8.2,3.9
text_073.txt,23.95,3DES,6.9,11.0
text_073.txt,23.95,ChaCha20,19.2,4.2
text_073.txt,23.95,Camellia,5.1,52.6
text_074.txt,24.28,AES,9.3,7.7
text_074.txt,24.28,3DES,13.7,6.8
text_074.txt,24.28,ChaCha20,5.9,12.7
text_074.txt,24.28,Camellia,8.4,18.5
text_075.txt,24.61,AES,1.2,7.4
text_075.txt,24.61,3DES,18.1,11.7
text_075.txt,24.61,ChaCha20,17.1,36.1
text_075.txt,24.61,Camellia,0,9.3
text_076.txt,24.93,AES,6.5,37.5
text_076.txt,24.93,3DES,22.2,9.8
text_076.txt,24.93,ChaCha20,10.4,23.8
text_076.txt,24.93,Camellia,12.7,41.5
text_077.txt,25.26,AES,14.1,0
text_077.txt,25.26,3DES,7.4,10.8
text_077.txt,25.26,ChaCha20,7.4,18.1
text_077.txt,25.26,Camellia,2.8,6.8
