Archivo,Peso (KB),Algoritmo,Energia Encrypt (J),Energia Encrypt (J/byte),Energia Decrypt (J),Energia Decrypt (J/byte)
audio_018.mp3,854.21,AES,0.0006,0.00000000,0.0034,0.00000000
audio_018.mp3,854.21,3DES,0.5532,0.00000063,0.3179,0.00000036
audio_018.mp3,854.21,ChaCha20,0.0014,0.00000000,0.0092,0.00000001
audio_018.mp3,854.21,Camellia,0.0250,0.00000003,0.0072,0.00000001
audio_019.mp3,902.58,AES,0.0015,0.00000000,0.0042,0.00000000
audio_019.mp3,902.58,3DES,0.6575,0.00000071,0.3680,0.00000040
audio_019.mp3,902.58,ChaCha20,0.0012,0.00000000,0.0074,0.00000001
audio_019.mp3,902.58,Camellia,0.0201,0.00000002,0.0185,0.00000002
audio_020.mp3,951.56,AES,0.0018,0.00000000,0.0009,0.00000000
audio_020.mp3,951.56,3DES,0.5774,0.00000059,0.7934,0.00000081
audio_020.mp3,951.56,ChaCha20,0.0000,0.00000000,0.0002,0.00000000
audio_020.mp3,951.56,Camellia,0.0167,0.00000002,0.0061,0.00000001
audio_021.mp3,999.93,AES,0.0020,0.00000000,0.0017,0.00000000
audio_021.mp3,999.93,3DES,0.7435,0.00000073,0.3475,0.00000034
audio_021.mp3,999.93,ChaCha20,0.0044,0.00000000,0.0032,0.00000000
audio_021.mp3,999.93,Camellia,0.0069,0.00000001,0.0027,0.00000000
audio_022.mp3,1048.91,AES,0.0007,0.00000000,0.0059,0.00000001
audio_022.mp3,1048.91,3DES,0.6093,0.00000057,0.3541,0.00000033
audio_022.mp3,1048.91,ChaCha20,0.0063,0.00000001,0.0022,0.00000000
audio_022.mp3,1048.91,Camellia,0.0133,0.00000001,0.0097,0.00000001
audio_023.mp3,1097.89,AES,0.0080,0.00000001,0.0062,0.00000001
audio_023.mp3,1097.89,3DES,0.3411,0.00000030,0.4944,0.00000044
audio_023.mp3,1097.89,ChaCha20,0.0027,0.00000000,0.0004,0.00000000
audio_023.mp3,1097.89,Camellia,0.0000,0.00000000,0.0013,0.00000000
audio_024.mp3,1146.25,AES,0.0023,0.00000000,0.0025,0.00000000
