Archivo,Tamaño (KB),Algoritmo,Tiempo Encrypt (s),Velocidad Encrypt (bytes/s),Tiempo Decrypt (s),Velocidad Decrypt (bytes/s)
audio_018.mp3,854.21,AES,0.001725,507093382.63,0.001629,537083973.56
audio_018.mp3,854.21,3DES,0.194042,4507870.57,0.198178,4413778.09
audio_018.mp3,854.21,ChaCha20,0.001150,760534955.09,0.000932,939037784.33
audio_018.mp3,854.21,Camellia,0.006704,130474790.12,0.007174,121932288.32
audio_019.mp3,902.58,AES,0.002105,438971363.59,0.002125,435030424.40
audio_019.mp3,902.58,3DES,0.208976,4422732.63,0.197294,4684586.36
audio_019.mp3,902.58,ChaCha20,0.001026,900477610.19,0.000990,933884873.98
audio_019.mp3,902.58,Camellia,0.005986,154401406.46,0.005577,165721448.01
audio_020.mp3,951.56,AES,0.001840,529531151.72,0.001928,505369287.62
audio_020.mp3,951.56,3DES,0.219286,4443494.05,0.212436,4586784.63
audio_020.mp3,951.56,ChaCha20,0.001103,883658687.35,0.001056,922763926.17
audio_020.mp3,951.56,Camellia,0.006457,150909143.67,0.006485,150243416.99
audio_021.mp3,999.93,AES,0.001942,527211037.54,0.001978,517740941.75
audio_021.mp3,999.93,3DES,0.218062,4695579.04,0.208847,4902760.27
audio_021.mp3,999.93,ChaCha20,0.001130,906429107.60,0.000985,1039366193.56
audio_021.mp3,999.93,Camellia,0.006715,152476784.49,0.006244,163993474.56
audio_022.mp3,1048.91,AES,0.001725,622671241.04,0.001605,669195845.06
audio_022.mp3,1048.91,3DES,0.228764,4695147.02,0.230929,4651137.25
audio_022.mp3,1048.91,ChaCha20,0.001061,1012593038.64,0.000918,1170440745.37
audio_022.mp3,1048.91,Camellia,0.007066,151996573.06,0.006526,164573187.29
audio_023.mp3,1097.89,AES,0.002873,391318817.10,0.002167,518744966.56
audio_023.mp3,1097.89,3DES,0.233625,4812139.82,0.232618,4832973.15
audio_023.mp3,1097.89,ChaCha20,0.000995,1129976454.84,0.000939,1197407756.74
audio_023.mp3,1097.89,Camellia,0.007422,151479062.80,0.006913,162622146.02
audio_024.mp3,1146.25,AES,0.001756,668449047.46,0.001651,710920900.30
audio_024.mp3,1146.25,3DES,0.250668,4682551.77,0.254575,4610679.90
audio_024.mp3,1146.25,ChaCha20,0.001068,1098912329.14,0.001003,1170501006.79
audio_024.mp3,1146.25,Camellia,0.007980,147086350.41,0.007245,162014257.23
audio_025.mp3,1195.23,AES,0.002017,606795809.89,0.001607,761532792.12
audio_025.mp3,1195.23,3DES,0.261411,4681981.03,0.252228,4852430.10
audio_025.mp3,1195.23,ChaCha20,0.001060,1154372060.19,0.000973,1257592491.84
audio_025.mp3,1195.23,Camellia,0.007848,155947887.23,0.007198,170033869.42
audio_026.mp3,1243.60,AES,0.001925,661698221.03,0.001698,749751268.98
audio_026.mp3,1243.60,3DES,0.276995,4597373.08,0.266318,4781680.56
audio_026.mp3,1243.60,ChaCha20,0.001080,1179339377.39,0.001014,1256168400.80
audio_026.mp3,1243.60,Camellia,0.008409,151446865.15,0.007639,166704995.01
audio_027.mp3,1292.58,AES,0.005442,243224243.47,0.001771,747186185.37
audio_027.mp3,1292.58,3DES,0.276015,4795405.81,0.282648,4682865.60
audio_027.mp3,1292.58,ChaCha20,0.001356,976190145.47,0.001248,1060678898.99
