Algoritmo,Archivo,Tamaño (KB),CPU Encrypt (%),CPU Decrypt (%)
3DES,audio_038.mp3,1828.2958984375,0.0,0.0
ChaCha20,audio_038.mp3,1828.2958984375,,
AES,audio_039.mp3,1877.275390625,,
3DES,audio_039.mp3,1877.275390625,0.0,0.0
ChaCha20,audio_039.mp3,1877.275390625,,
AES,audio_040.mp3,1925.642578125,,
3DES,audio_040.mp3,1925.642578125,0.0,0.0
ChaCha20,audio_040.mp3,1925.642578125,,
AES,audio_041.mp3,1974.6220703125,,
3DES,audio_041.mp3,1974.6220703125,0.0,0.0
ChaCha20,audio_041.mp3,1974.6220703125,,
AES,audio_042.mp3,2022.9892578125,,
3DES,audio_042.mp3,2022.9892578125,0.0,0.0
ChaCha20,audio_042.mp3,2022.9892578125,,
AES,audio_043.mp3,2071.96875,,
3DES,audio_043.mp3,2071.96875,0.0,0.0
ChaCha20,audio_043.mp3,2071.96875,,
AES,audio_044.mp3,2120.3369140625,,
3DES,audio_044.mp3,2120.3369140625,0.0,0.0
ChaCha20,audio_044.mp3,2120.3369140625,,
AES,audio_045.mp3,2169.31640625,,
3DES,audio_045.mp3,2169.31640625,0.0,0.0
ChaCha20,audio_045.mp3,2169.31640625,,
AES,audio_046.mp3,2218.2958984375,,
3DES,audio_046.mp3,2218.2958984375,0.0,0.0
ChaCha20,audio_046.mp3,2218.2958984375,,
AES,audio_047.mp3,2266.6630859375,,
3DES,audio_047.mp3,2266.6630859375,0.0,0.0
ChaCha20,audio_047.mp3,2266.6630859375,,
AES,audio_048.mp3,2315.642578125,,
3DES,audio_048.mp3,2315.642578125,0.0,0.0
ChaCha20,audio_048.mp3,2315.642578125,,
AES,audio_049.mp3,2364.009765625,,
3DES,audio_049.mp3,2364.009765625,0.0,0.0
ChaCha20,audio_049.mp3,2364.009765625,,
AES,audio_050.mp3,2412.9892578125,,
3DES,audio_050.mp3,2412.9892578125,0.0,0.0
ChaCha20,audio_050.mp3,2412.9892578125,,
AES,img_001.jpg,14.5283203125,,
3DES,img_001.jpg,14.5283203125,,
ChaCha20,img_001.jpg,14.5283203125,,
AES,img_002.jpg,17.7080078125,,
3DES,img_002.jpg,17.7080078125,,
ChaCha20,img_002.jpg,17.7080078125,,
AES,img_003.jpg,26.076171875,,
3DES,img_003.jpg,26.076171875,0.0,
ChaCha20,img_003.jpg,26.076171875,,
AES,img_004.jpg,34.6689453125,,
3DES,img_004.jpg,34.6689453125,,0.0
ChaCha20,img_004.jpg,34.6689453125,,
AES,img_005.jpg,45.1982421875,,
3DES,img_005.jpg,45.1982421875,,0.0
ChaCha20,img_005.jpg,45.1982421875,,
AES,img_006.jpg,56.345703125,,
3DES,img_006.jpg,56.345703125,,0.0
ChaCha20,img_006.jpg,56.345703125,,
AES,img_007.jpg,65.0517578125,,
3DES,img_007.jpg,65.0517578125,0.0,
ChaCha20,img_007.jpg,65.0517578125,,
AES,img_008.jpg,72.232421875,,
3DES,img_008.jpg,72.232421875,,0.0
ChaCha20,img_008.jpg,72.232421875,,
AES,img_009.jpg,85.095703125,,
3DES,img_009.jpg,85.095703125,0.0,0.0
ChaCha20,img_009.jpg,85.095703125,,
AES,img_010.jpg,93.03515625,,
3DES,img_010.jpg,93.03515625,0.0,0.0
ChaCha20,img_010.jpg,93.03515625,,
AES,img_011.jpg,102.2421875,,
3DES,img_011.jpg,102.2421875,0.0,0.0
ChaCha20,img_011.jpg,102.2421875,,
AES,img_012.jpg,112.3408203125,,
3DES,img_012.jpg,112.3408203125,0.0,0.0
ChaCha20,img_012.jpg,112.3408203125,,
AES,img_013.jpg,123.5234375,,
3DES,img_013.jpg,123.5234375,0.0,0.0
ChaCha20,img_013.jpg,123.5234375,,
AES,img_014.jpg,136.6298828125,,
3DES,img_014.jpg,136.6298828125,0.0,0.0
ChaCha20,img_014.jpg,136.6298828125,,
AES,img_015.jpg,143.263671875,,
3DES,img_015.jpg,143.263671875,0.0,0.0
ChaCha20,img_015.jpg,143.263671875,,
AES,img_016.jpg,156.1064453125,,
3DES,img_016.jpg,156.1064453125,0.0,0.0
ChaCha20,img_016.jpg,156.1064453125,,
AES,img_017.jpg,166.8271484375,,
3DES,img_017.jpg,166.8271484375,0.0,0.0
ChaCha20,img_017.jpg,166.8271484375,,
AES,img_018.jpg,177.0302734375,,
3DES,img_018.jpg,177.0302734375,15.6,0.0
ChaCha20,img_018.jpg,177.0302734375,,
AES,img_019.jpg,187.0654296875,,
3DES,img_019.jpg,187.0654296875,0.0,0.0
ChaCha20,img_019.jpg,187.0654296875,,
AES,img_020.jpg,194.609375,,
3DES,img_020.jpg,194.609375,0.0,0.0
ChaCha20,img_020.jpg,194.609375,,
AES,img_021.jpg,194.609375,,
3DES,img_021.jpg,194.609375,0.0,0.0
ChaCha20,img_021.jpg,194.609375,,
AES,img_022.jpg,214.634765625,,
3DES,img_022.jpg,214.634765625,0.0,0.0
ChaCha20,img_022.jpg,214.634765625,,
AES,img_023.jpg,223.3662109375,,
3DES,img_023.jpg,223.3662109375,0.0,0.0
ChaCha20,img_023.jpg,223.3662109375,,
AES,img_024.jpg,233.779296875,,
3DES,img_024.jpg,233.779296875,0.0,0.0
ChaCha20,img_024.jpg,233.779296875,,
AES,img_025.jpg,260.8818359375,,
3DES,img_025.jpg,260.8818359375,0.0,0.0
ChaCha20,img_025.jpg,260.8818359375,,
AES,img_026.jpg,257.037109375,,
3DES,img_026.jpg,257.037109375,0.0,0.0
ChaCha20,img_026.jpg,257.037109375,,
AES,img_027.jpg,267.59765625,,
3DES,img_027.jpg,267.59765625,0.0,0.0
ChaCha20,img_027.jpg,267.59765625,,
AES,img_028.jpg,274.1728515625,,
3DES,img_028.jpg,274.1728515625,0.0,0.0
ChaCha20,img_028.jpg,274.1728515625,,
AES,img_029.jpg,286.9423828125,,
3DES,img_029.jpg,286.9423828125,0.0,0.0
ChaCha20,img_029.jpg,286.9423828125,,
AES,img_030.jpg,295.2529296875,,
3DES,img_030.jpg,295.2529296875,0.0,0.0
ChaCha20,img_030.jpg,295.2529296875,,
AES,img_031.jpg,302.2509765625,,
3DES,img_031.jpg,302.2509765625,0.0,0.0
ChaCha20,img_031.jpg,302.2509765625,,
AES,img_032.jpg,313.626953125,,
3DES,img_032.jpg,313.626953125,0.0,0.0
ChaCha20,img_032.jpg,313.626953125,,
AES,img_033.jpg,352.2138671875,,
3DES,img_033.jpg,352.2138671875,0.0,0.0
ChaCha20,img_033.jpg,352.2138671875,,
AES,img_034.jpg,323.5654296875,,
3DES,img_034.jpg,323.5654296875,0.0,0.0
ChaCha20,img_034.jpg,323.5654296875,,
AES,img_035.jpg,341.0556640625,,
3DES,img_035.jpg,341.0556640625,0.0,0.0
ChaCha20,img_035.jpg,341.0556640625,,
AES,img_036.jpg,356.98828125,,
3DES,img_036.jpg,356.98828125,0.0,0.0
ChaCha20,img_036.jpg,356.98828125,,
AES,img_037.jpg,362.625,,
3DES,img_037.jpg,362.625,15.6,0.0
ChaCha20,img_037.jpg,362.625,,
AES,img_038.jpg,377.529296875,,
3DES,img_038.jpg,377.529296875,0.0,0.0
ChaCha20,img_038.jpg,377.529296875,,
AES,img_039.jpg,383.7685546875,,
3DES,img_039.jpg,383.7685546875,0.0,0.0
ChaCha20,img_039.jpg,383.7685546875,,
AES,img_040.jpg,443.0439453125,,
3DES,img_040.jpg,443.0439453125,0.0,0.0
ChaCha20,img_040.jpg,443.0439453125,,
AES,img_041.jpg,407.1064453125,,
3DES,img_041.jpg,407.1064453125,0.0,0.0
ChaCha20,img_041.jpg,407.1064453125,,
AES,img_042.jpg,417.41015625,,
3DES,img_042.jpg,417.41015625,0.0,0.0
ChaCha20,img_042.jpg,417.41015625,,
AES,img_043.jpg,438.7041015625,,
3DES,img_043.jpg,438.7041015625,0.0,0.0
ChaCha20,img_043.jpg,438.7041015625,,
AES,img_044.jpg,437.5458984375,,
3DES,img_044.jpg,437.5458984375,0.0,0.0
ChaCha20,img_044.jpg,437.5458984375,,
AES,img_045.jpg,444.603515625,,
3DES,img_045.jpg,444.603515625,0.0,0.0
ChaCha20,img_045.jpg,444.603515625,,
AES,img_046.jpg,450.94921875,,
3DES,img_046.jpg,450.94921875,0.0,0.0
ChaCha20,img_046.jpg,450.94921875,,
AES,img_047.jpg,464.8154296875,,
3DES,img_047.jpg,464.8154296875,0.0,0.0
ChaCha20,img_047.jpg,464.8154296875,,
AES,img_048.jpg,546.6484375,,
3DES,img_048.jpg,546.6484375,0.0,0.0
ChaCha20,img_048.jpg,546.6484375,,
AES,img_049.jpg,485.4755859375,,
3DES,img_049.jpg,485.4755859375,0.0,0.0
ChaCha20,img_049.jpg,485.4755859375,,
AES,img_050.jpg,493.451171875,,
3DES,img_050.jpg,493.451171875,0.0,0.0
ChaCha20,img_050.jpg,493.451171875,,
AES,text_001.txt,0.32421875,,
